crime_type,latitude,longitude
DWI,30.26093643,-97.73672471
BURGLARY OF VEHICLE,30.25680559,-97.73917706
ASSAULT BY THREAT,30.26584235,-97.73859205
DATING DISTURBANCE,30.26544817,-97.74221783
DWI,30.26873118,-97.74435087
AUTO THEFT,30.26704861,-97.73799247
DATING DISTURBANCE,30.26735673,-97.74003421
BURGLARY OF VEHICLE,30.26851285,-97.7504308
DOC FIGHTING,30.26735144,-97.73909331
AGG ASSAULT FAM/DATE VIOLENCE,30.26922738,-97.75299723
CRIMINAL TRESPASS,30.27180455,-97.74740857
THEFT FROM PERSON,30.26695859,-97.73612865
THEFT FROM BUILDING,30.26542135,-97.73613832
DAMAGE CITY VEHICLE,30.26587973,-97.73500753
FRAUD - OTHER,30.26726112,-97.7381642
FRAUD - OTHER,30.27369476,-97.74976299
THEFT FROM PERSON,30.26678659,-97.73917819
ROBBERY BY ASSAULT,30.27076383,-97.75049099
BURGLARY OF VEHICLE,30.25680559,-97.73917706
POSS OF DRUG PARAPHERNALIA,30.26590961,-97.73865361
CRED CARD ABUSE - OTHER,30.26751646,-97.75271343
CRIMINAL TRESPASS,30.27119837,-97.74939886
AGG ROBBERY/DEADLY WEAPON,30.26664758,-97.73869715
THEFT OF BICYCLE,30.26373894,-97.74365146
AUTO THEFT,30.25839263,-97.73904571
CRIMINAL MISCHIEF,30.27108005,-97.74871444
ASSAULT BY CONTACT,30.25908699,-97.7389732
ASSAULT WITH INJURY,30.26735144,-97.73909331
THEFT,30.27650372,-97.7489875
ASSAULT WITH INJURY,30.27975928,-97.74145659
ASSAULT W/INJURY-FAM/DATE VIOL,30.26863793,-97.73756635
THEFT,30.27020584,-97.74968842
ASSAULT WITH INJURY,30.25680559,-97.73917706
IDENTITY THEFT,30.26755343,-97.73467415
IDENTITY THEFT,30.2679761,-97.73761583
BURGLARY OF VEHICLE,30.26818284,-97.74103545
ASSAULT W/INJURY-FAM/DATE VIOL,30.26602691,-97.74540561
DISTURBANCE - OTHER,30.27056346,-97.74901027
CRIMINAL TRESPASS/TRANSIENT,30.26506475,-97.73862879
BURGLARY OF VEHICLE,30.2685581,-97.75376923
