STOP_ID,BENCHES,SHELTERS,BIKERACKS,TRASHCANS,STOP_NAME,STOP_ABBR,STREET_NMB,ON_STREET,AT_STREET,CITY,ZIP,BAY,STOP_TYPE,PLACEMENT,CORNER,STATUS,LATITUDE,LONGITUDE,SOURCE,SOURCEDATE
5305,1,0,0,1,3301 Wells Branch/Howard,WLBHOW3F,003301,Wells Branch,Howard,Austin,78728,,Bus Stop,Farside,Southeast,,30.440104000000000,-97.695268000000000,Capital Metro,2022-08-16
5302,0,0,0,1,TECH RIDGE BAY F,TECHF,00900F,Center Ridge,Center Line,Austin,78753,F,Bus Bay,Mid-Block,Northwest,,30.418324900000000,-97.669069650000000,Capital Metro,2022-08-16
5279,0,0,0,1,TECH RIDGE BAY J,TECHJS,00900J,Center Ridge,Center Line,Austin,78753,J,Bus Bay,Mid-Block,Northwest,,30.418160860000000,-97.667996190000000,Capital Metro,2022-08-16
5191,0,0,0,0,MONTOPOLIS/CADDIE,MTPCDD1N,001601,Montopolis,Caddie,Austin,78741,,Bus Stop,Nearside,Northwest,,30.227349890000000,-97.702006980000000,Capital Metro,2022-08-16
243,1,0,0,1,RIO GRANDE/15TH,RG15,000606,15Th,Rio Grande,Austin,78701,None,Bus Stop,Farside,Northwest,,30.278965610000000,-97.746339000000000,Capital Metro,2022-08-16
467,1,1,1,1,FAIRFIELD STATION (SB),S63,008630,Lamar,Fairfield,Austin,78758,None,Bus Stop,Farside,Southwest,,30.355296110000000,-97.703127900000000,Capital Metro,2022-08-16
468,1,2,0,1,LAMAR/THURMOND,S15,008400,Lamar,Thurmond,Austin,78758,,Bus Stop,Farside,Southwest,,30.353139120000000,-97.706082030000000,Capital Metro,2022-08-16
471,0,0,0,1,7720 LAMAR/STOBAUGH,S1911,007720,Lamar,Stobaugh,Austin,78757,,Bus Stop,Mid-Block,Southwest,,30.346043830000000,-97.713965550000000,Capital Metro,2022-08-16
472,1,0,0,1,7520 LAMAR/MORROW,S11,007520,Lamar,Morrow,Austin,78757,,Bus Stop,Farside,Southwest,,30.343739080000000,-97.715300600000000,Capital Metro,2022-08-16
474,1,1,0,1,6814 LAMAR/JUSTIN,S56,006814,Lamar,Justin,Austin,78757,,Bus Stop,Farside,Southwest,,30.336203830000000,-97.720005550000000,Capital Metro,2022-08-16
475,1,1,0,1,6600 LAMAR/BRENTWOOD,S54,006600,Lamar,Brentwood,Austin,78757,,Bus Stop,Nearside,Northwest,,30.334109280000000,-97.721322180000000,Capital Metro,2022-08-16
476,1,1,0,1,6200 LAMAR/DENSON,S7,006200,Lamar,Denson,Austin,78757,,Bus Stop,Nearside,Northwest,,30.330425040000000,-97.723636290000000,Capital Metro,2022-08-16
480,1,1,0,0,5528 LAMAR/KOENIG,S48,005528,Lamar,Koenig,Austin,78756,,Bus Stop,Mid-Block,Southwest,,30.324246830000000,-97.727527550000000,Capital Metro,2022-08-16
483,1,1,0,1,5106 LAMAR/51ST,S44,005106,Lamar,51St,Austin,78756,,Bus Stop,Nearside,Northwest,,30.319050710000000,-97.730805170000000,Capital Metro,2022-08-16
484,3,0,1,2,TRIANGLE STATION (SB),S1805,004600,Guadalupe,Lamar,Austin,78751,,Rapid Station,Mid-Block,Southwest,,30.314630280000000,-97.732523180000000,Capital Metro,2022-08-16
485,1,2,0,1,4500 GUADALUPE/45TH,200SB,004500,Guadalupe,45Th,Austin,78751,,Bus Stop,Nearside,Northwest,,30.311162760000000,-97.732958400000000,Capital Metro,2022-08-16
486,1,1,0,1,GUADALUPE/43RD STREET,S39,004300,Guadalupe,43Rd,Austin,78751,,Bus Stop,Nearside,Northwest,,30.308831270000000,-97.734395240000000,Capital Metro,2022-08-16
487,1,1,0,1,GUADALUPE/41ST STREET,S37,004100,Guadalupe,41St,Austin,78751,,Bus Stop,Nearside,Northwest,,30.306703380000000,-97.735755720000000,Capital Metro,2022-08-16
489,1,1,0,1,GUADALUPE/MAIDEN,S1806,003500,Guadalupe,Maiden,Austin,78705,,Bus Stop,Nearside,Northwest,,30.301674140000000,-97.738960280000000,Capital Metro,2022-08-16
490,1,1,0,1,GUADALUPE/34TH STREET,S31,003402,Guadalupe,34Th,Austin,78705,,Bus Stop,Nearside,Northwest,,30.300455620000000,-97.739708780000000,Capital Metro,2022-08-16
494,1,1,0,1,GUADALUPE/27TH STREET,S14,002700,Guadalupe,27Th,Austin,78705,,Bus Stop,Nearside,Northwest,,30.292196930000000,-97.741309950000000,Capital Metro,2022-08-16
497,2,0,0,2,UT WEST MALL STATION (SB),S19,002246,Guadalupe,23Rd,Austin,78705,,Rapid Station,Mid-Block,Southwest,,30.286063660000000,-97.741815170000000,Capital Metro,2022-08-16
498,2,1,0,2,Guadalupe/W. 21St Street,S17,002026,Guadalupe,21St,Austin,78705,,Bus Stop,Mid-Block,Southwest,,30.283384000000000,-97.742081000000000,Capital Metro,2022-08-16
501,1,1,0,1,GUADALUPE/16TH STREET,S292,001600,Guadalupe,16Th,Austin,78701,,Bus Stop,Nearside,Northwest,,30.278962160000000,-97.742707520000000,Capital Metro,2022-08-16
506,0,0,0,1,11TH/CONGRESS,S297,000100,11Th,Congress,Austin,78701,,Bus Stop,Nearside,Southwest,,30.272699880000000,-97.741375760000000,Capital Metro,2022-08-16
517,1,1,0,1,612 CONGRESS/RIVERSIDE,S1810,000612,Congress,Riverside,Austin,78704,,Bus Stop,Mid-Block,Southwest,,30.255385310000000,-97.747685380000000,Capital Metro,2022-08-16
522,1,0,0,1,2020 CONGRESS/CROCKETT,S310,002020,Congress,Crockett,Austin,78704,,Bus Stop,Nearside,Northwest,,30.243057640000000,-97.752262560000000,Capital Metro,2022-08-16
526,1,0,0,1,2622 Congress/Cumberland,S285,002622,Congress,Cumberland,Austin,78704,,Bus Stop,Nearside,Northwest,,30.235695000000000,-97.756374000000000,Capital Metro,2022-08-16
527,1,0,0,1,2918 CONGRESS/LA VISTA,S318,002918,Congress,La Vista,Austin,78704,,Bus Stop,Nearside,Northwest,,30.232590000000000,-97.758530000000000,Capital Metro,2022-08-16
529,1,0,0,1,CONGRESS/PICKLE,S1813,003630,Congress,Pickle,Austin,78704,,Bus Stop,Farside,Southwest,,30.226895560000000,-97.761934550000000,Capital Metro,2022-08-16
531,0,0,0,1,4210 Congress/Radam,S321,004210,Congress,Radam,Austin,78745,,Bus Stop,Mid-Block,Southwest,,30.220763000000000,-97.765411000000000,Capital Metro,2022-08-16
543,1,0,0,1,4722 CONGRESS/SHERATON,S1821,004722,Congress,Sheraton,Austin,78745,,Bus Stop,Mid-Block,Southwest,,30.214748470000000,-97.769232020000000,Capital Metro,2022-08-16
545,0,0,0,1,5300 CONGRESS/RAMBLE,S327,005300,Congress,Ramble,Austin,78745,,Bus Stop,Farside,Southwest,,30.208685050000000,-97.773108110000000,Capital Metro,2022-08-16
550,1,2,0,1,115 WILLIAM CANNON/CIRCLE S,S1823,000115,William Cannon,Circle S,Austin,78745,,Bus Stop,Nearside,Southwest,,30.192663740000000,-97.777840800000000,Capital Metro,2022-08-16
551,1,0,0,1,409 WILLIAM CANNON/CIRCLE S,S1824,000409,William Cannon,Circle S,Austin,78745,,Bus Stop,Mid-Block,Southeast,,30.192082260000000,-97.776036820000000,Capital Metro,2022-08-16
552,1,0,0,1,601 WILLIAM CANNON/CIRCLE S,S332,000601,William Cannon,Circle S,Austin,78745,,Bus Stop,Mid-Block,Southeast,,30.191386570000000,-97.773529780000000,Capital Metro,2022-08-16
553,1,0,0,1,Nelms/Bluff Springs,S1825,001600,Nelms,Bluff Springs,Austin,78744,,Bus Stop,Nearside,Southwest,,30.192738000000000,-97.765327000000000,Capital Metro,2022-08-16
554,8,3,0,2,BLUFF SPRINGS/WILLIAM CANNON,426,006600,Bluff Springs,William Cannon,Austin,78744,,Bus Stop,Nearside,Northwest,,30.189427250000000,-97.767879230000000,Capital Metro,2022-08-16
555,1,1,0,1,412 WILLIAM CANNON/NORTH BLUFF,S1826,000412,William Cannon,North Bluff,Austin,78745,,Bus Stop,Mid-Block,Northwest,,30.191772780000000,-97.774138530000000,Capital Metro,2022-08-16
556,1,2,0,1,110 WILLIAM CANNON/CIRCLE S,S1827,000110,William Cannon,Circle S,Austin,78745,,Bus Stop,Farside,Northwest,,30.192970890000000,-97.777954510000000,Capital Metro,2022-08-16
558,1,1,0,1,6319 Congress/Circle S,S333,006319,Congress,Circle S,Austin,78745,,Bus Stop,Mid-Block,Northeast,,30.197392000000000,-97.776908000000000,Capital Metro,2022-08-16
559,1,0,1,1,LITTLE TEXAS STATION (NB),S330,005901,Congress,Little Texas,Austin,78745,,Rapid Station,Nearside,Southeast,,30.202145330000000,-97.775514770000000,Capital Metro,2022-08-16
560,1,0,0,1,5405 CONGRESS/MOCKINGBIRD,S328,005405,Congress,Mockingbird,Austin,78745,,Bus Stop,Nearside,Southeast,,30.207107330000000,-97.773732900000000,Capital Metro,2022-08-16
568,0,0,0,1,CONGRESS/ALPINE,S1831,003500,Congress,Alpine,Austin,78704,,Bus Stop,Farside,Northeast,,30.228247730000000,-97.760942960000000,Capital Metro,2022-08-16
571,1,1,0,1,2705 CONGRESS/CUMBERLAND,S316,002705,Congress,Cumberland,Austin,78704,,Bus Stop,Nearside,Southeast,,30.235346930000000,-97.756329930000000,Capital Metro,2022-08-16
573,2,4,0,1,2203 Congress/Live Oak,S311,002203,Congress,Live Oak,Austin,78704,,Bus Stop,Nearside,Southeast,,30.241689000000000,-97.752423000000000,Capital Metro,2022-08-16
574,1,0,0,1,1901 CONGRESS/MARY,S309S,001901,Congress,Mary,Austin,78704,,Bus Stop,Nearside,Southeast,,30.245024020000000,-97.751211890000000,Capital Metro,2022-08-16
576,1,0,0,2,CONGRESS/THE CIRCLE,S1833,001221,Congress,The Circle,Austin,78704,,Bus Stop,Mid-Block,Northeast,,30.251531440000000,-97.748789170000000,Capital Metro,2022-08-16
577,1,0,0,1,611 CONGRESS/ACADEMY,S1834,000611,Congress,Academy,Austin,78704,,Bus Stop,Mid-Block,Northeast,,30.255340460000000,-97.747389520000000,Capital Metro,2022-08-16
590,1,0,0,1,Lavaca/12Th,S1943,001100,Lavaca,12Th,Austin,78701,,Bus Stop,Nearside,Southeast,,30.274408000000000,-97.742995000000000,Capital Metro,2022-08-16
591,4,0,1,1,CAPITOL STATION (NB),S1944,001200,Lavaca,13Th,Austin,78701,,Rapid Station,Nearside,Southeast,,30.275586690000000,-97.742557600000000,Capital Metro,2022-08-16
593,1,1,0,1,LAVACA/15TH,S1846,001415,Lavaca,15Th,Austin,78701,,Bus Stop,Nearside,Southeast,,30.277383220000000,-97.741894150000000,Capital Metro,2022-08-16
599,0,0,0,0,GUADALUPE/DEAN KEETON,S23,002500,Guadalupe,Dean Keeton,Austin,78705,,Bus Stop,Farside,Southeast,,30.290342640000000,-97.741235980000000,Capital Metro,2022-08-16
603,1,1,0,1,31St Street Station (NB),S28,003101,Guadalupe,31St,Austin,78705,,Bus Stop,Nearside,Southeast,,30.297781000000000,-97.741153000000000,Capital Metro,2022-08-16
604,1,0,0,1,GUADALUPE/34TH,S30,003300,Guadalupe,34Th,Austin,78705,None,Bus Stop,Farside,Southeast,,30.300639230000000,-97.739392940000000,Capital Metro,2022-08-16
