station_name,station_id,Latitude,Longitude,Available_Bikes,Empty_Slots
One Texas Center,01eedbec47378a4407f5a3fc4352fdf3,30.25759,-97.74898,7,6
28th/Rio Grande,57eb8e5d401aeabe67ff95e6f1f1f999,30.29312,-97.74412,3,7
22nd/Pearl,ed95d8e12ad7c2ec3ff0b7dd0f4673f2,30.2854,-97.74673,2,11
9th/Henderson,8723bfa08ec83b133f6a9aeecd075f51,30.27217,-97.75246,5,8
South Congress @ Bouldin Creek,568256d098257d6e8433513638f5257b,30.25495,-97.74755,2,10
South Congress/Mary,a22287cc0ed65baf5d88b04916ad3f8e,30.24496,-97.75127,6,4
4th/Guadalupe @ Republic Square,0071a519298ba811d05c62fcf03c39c6,30.26727,-97.74718,8,6
21st/University,127d6968e5b3b59b49005c0694d78815,30.28354,-97.73953,2,17
8th/Lavaca,5e3c201ddf35ac9a262e33a63ba0fda3,30.27048,-97.74467,7,2
2nd/Lavaca @ City Hall,96840128a6de03042f986c91dcd38e00,30.26476,-97.74678,6,12
Dean Keeton/Speedway,68f152a5c3e6e60cea8b8e1430e28906,30.2896,-97.7366,7,9
Dean Keeton/Park Place,5d489ee85f9f1d9aeec3b596f1a0026e,30.28928,-97.733,4,9
Boardwalk West,71ac94f8934969e97ab7682575088a0a,30.25457,-97.74258,4,5
Lake Austin/Enfield,704b1f46a8a887765bdd612cc57097bd,30.29439,-97.78375,9,3
Lake Austin Blvd/Deep Eddy,3896d628557a0f44d7e606b731d19642,30.27807,-97.77272,2,10
Red River/Cesar Chavez @ The Fairmont,60022b385060eadff6b6e0bf2f07fe46,30.26211,-97.73875,6,7
Lakeshore/Austin Hostel,a5e54a267788bd7566e9fe9b7aa7a3b1,30.24468,-97.72311,5,10
South Congress/Barton Springs @ The Austin American-Statesman,275ef76f31c0c1881d5ccf2880507495,30.25872,-97.74614,4,9
Sterzing/Barton Springs,551b0f447c9144747dfb109cb9fd5e5e,30.26406,-97.76385,2,10
8th/Congress,4014b2559f742447b48263708c55c3f2,30.26978,-97.74224,4,9
2nd/Congress,6ef1a960b649477ab71cdb7fef6bb963,30.26408,-97.74355,4,10
South 1st/Riverside @ Long Center,c230e79a749fd6ae4f05edc42c23b1b0,30.25941,-97.74971,4,9
Zilker Park,84d65c63f179f3dacf87104409dbfd36,30.2659,-97.76822,2,14
8th/San Jacinto,8ec54b5f13b396cea5ad673cc118e232,30.26912,-97.73986,7,6
Nash Hernandez/East @ RBJ South,25db539554c054e8a75ba8c3a65db7e4,30.25204,-97.73459,3,9
22.5/Rio Grande,1871d72ecbb5afdf0faa7b6fcfcb995a,30.2862,-97.74516,2,4
Plaza Saltillo,cc0a7bb361f89cb6a3dae1373692d064,30.26217,-97.72743,5,5
East 6th/Pedernales,b8967dee55c02d796ccbc113f4fa2707,30.25902,-97.71479,2,9
21st/Guadalupe,088582fba6c8c9078926fd933997d73c,30.28395,-97.74198,8,5
Hollow Creek/Barton Hills,99eec9baac3c346be9bd4cd97c8f7174,30.26152,-97.77258,2,11
