name,address,distance,category_name,review_count,rating,longitude,latitude,postcode,price,id
Equipment Room,1101 Music Ln,6182.622950341282,Speakeasies,21,4.5,-97.7477179,30.252693424891334,78704,,lhdlHFbXlZhs1VfU5z0HoQ
Electric Shuffle Austin,91 Red River St,5381.452058276082,Bars,51,4.5,-97.73882820000131,30.260959879556598,78701,$$,9KVCuq2uKldjhkg91V8C6g
Aba - Austin,1011 S Congress Ave,6094.825567451412,Mediterranean,1089,4.5,-97.74803,30.25357,78704,,GwAFL29gpnEIjAG9MauMig
The Little Longhorn Saloon,5434 Burnet Rd,2563.0222763548813,Dive Bars,239,4.5,-97.74013180639591,30.329338820675115,78756,$,wRitGLmWK86di83q6o8lCA
Dive Bar and Lounge,1703 Guadalupe St,3284.4000721938423,Dive Bars,174,4.5,-97.74195,30.27971,78701,$,TRMSNc6MM_YRzT1YnaEmWA
Otopia,1901 San Antonio St,2972.3544489940473,Lounges,32,4.0,-97.74291,30.28223,78705,,QGrpkL06Or5gJxL6YH8ZBg
Spokesman - Highland,6015 Dillard Cir,3823.949815542892,Coffee & Tea,47,4.5,-97.716814,30.325936,78752,$$,M2EwmoRKOUUhFjWshPjdjA
Anthem,91 Rainey St,5450.089345737878,American (Traditional),593,4.5,-97.7379465429382,30.260499502500732,78701,$$,P2fi7qugfLPOFSxscpaAxg
Donn's Depot,1600 W 5th St,3982.6686930702826,Dive Bars,165,4.5,-97.76333,30.27413,78703,$,iX6oInZ6C4fi2_bzV5xtLg
Ember Kitchen,800 W Cesar Chavez St,4636.231483610047,Latin American,49,4.5,-97.752637,30.266578,78701,,pSOf1v4Wcnxe09ErQmOtJw
Antone's Nightclub,305 E 5th,4796.319750474504,Jazz & Blues,120,4.0,-97.7403876,30.2660523,78701,$$,2LvE0-abj3ULzy-KGxbcSQ
Urban Rooftop,411 West Main St,23015.71220981699,Lounges,116,4.0,-97.6824495,30.506629,78664,$$$,xzgIiw3g203Dk-RiZQO59g
Blurred Vines,901 E 7th St Austin Tx 78702,4984.9898707079,Wine Tasting Room,22,5.0,-97.73316,30.26605,78702,,oAX9wEl4ZH_deTmuAQqChw
Moonshine Patio Bar & Grill,303 Red River St,5095.33253051008,Southern,5778,4.5,-97.73807686181601,30.26375388334444,78701,$$,cs6HfZNykLVitm09jWFqWg
Vic & Al's,2406 Manor Rd,4164.197713042855,Cajun/Creole,389,4.5,-97.7168484,30.2849835,78722,$$,Unl62KlI0kwF8pToy7QjSA
Nickel City,1133 E 11th St,4923.921810932099,Dive Bars,149,4.5,-97.7281,30.26856,78702,$,g50VJ7omcUXvcrUmhW90YQ
Odd Duck,1201 S Lamar Blvd,6068.399753817506,American (Traditional),2145,4.5,-97.762064,30.25452,78704,$$$,uPWJtYJi76EniU0xrX-zbA
Bar Peached,1315 W 6th St,3958.340854868976,Cocktail Bars,467,4.5,-97.76001,30.27354,78703,$$,LoSheJfJ57sNedZj0GWO5A
Hole in the Wall,2538 Guadalupe St,2199.797801968585,Music Venues,192,4.0,-97.74161,30.29005,78705,$,j2cYa0F0IU40EE4nh784yQ
Intero Restaurant,2612 E Cesar Chavez St,6978.738341712786,Italian,437,4.5,-97.7146533178121,30.2538078303281,78702,$$,MnO3YMUGAnkHm-iy5wo0mQ
