ROUTE_ID,ROUTENAME,DIRECTION,ROUTECOLOR,TEXTCOLOR,ROUTETYPE,ROUTETHEME,SERVICENM,SERVICETYP,SIGN_ID,SERVICE_ID,SOURCE,SOURCEDATE
1,North Lamar/South Congress,Southbound,004A97,FFFFFF,Local,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Southbound,E2231A,FFFFFF,Rail,,RAIL AFC 1,Other,154,53001-154,Capital Metro,2022-08-16
322,Chicon/Cherrywood,Northbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
671,North Riverside,Inbound,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
233,Decker/Daffan Ln,Westbound,004A97,FFFFFF,Feeder,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
17,Cesar Chavez,Westbound,004A97,FFFFFF,High Frequency,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Northbound,E2231A,FFFFFF,Rail,,TRIP AFC WEEKDAYS,Weekday,154,52901-154,Capital Metro,2022-08-16
656,Intramural Fields/UT,Outbound,004A97,FFFFFF,UT Shuttle,,UT Regular Weekday,UT,154,4701-154,Capital Metro,2022-08-16
641,East Campus,Eastbound,004A97,FFFFFF,UT Shuttle,,UT INT SEMSTER,UT,154,4801-154,Capital Metro,2022-08-16
656,Intramural Fields/UT,Inbound,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Northbound,E2231A,FFFFFF,Rail,,RAIL AFC 2,Other,154,55001-154,Capital Metro,2022-08-16
484,Night Owl South Lamar,Northbound,004A97,FFFFFF,Night Owl,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
663,Lake Austin/UT,Inbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
641,East Campus,Westbound,004A97,FFFFFF,UT Shuttle,,UT INT SEMSTER,UT,154,4801-154,Capital Metro,2022-08-16
311,Stassney,Westbound,004A97,FFFFFF,High Frequency,,Regular Sunday,Sunday,154,24105-154,Capital Metro,2022-08-16
672,Lakeshore,Outbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4904-154,Capital Metro,2022-08-16
486,Night Owl South Congress,Northbound,004A97,FFFFFF,Night Owl,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
325,Metric/Rundberg,Southbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
1,North Lamar/South Congress,Northbound,004A97,FFFFFF,Local,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
103,Manchaca Flyer,Southbound,555555,FFFFFF,Flyer,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
4,7th Street,Westbound,004A97,FFFFFF,High Frequency,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
1,North Lamar/South Congress,Southbound,004A97,FFFFFF,Local,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
228,VA Clinic,Westbound,004A97,FFFFFF,Feeder,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
4,7th Street,Eastbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
315,Ben White,Eastbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
322,Chicon/Cherrywood,Northbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
20,Manor Rd/Riverside,Southbound,004A97,FFFFFF,High Frequency,,Regular Sunday,Sunday,154,24105-154,Capital Metro,2022-08-16
324,Georgian/Ohlen,Eastbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
323,Anderson,Westbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
803,Burnet/S Lamar,Southbound,555555,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
803,Burnet/S Lamar,Southbound,555555,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
335,335 35th/38th,Westbound,004A97,FFFFFF,High Frequency,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
30,Barton Creek Sq,Northbound,004A97,FFFFFF,Local,,REGULAR SUNDAY 2,Sunday,154,31505-154,Capital Metro,2022-08-16
19,Bull Creek,Northbound,004A97,FFFFFF,Local,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
661,Far West/UT,Outbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
300,Springdale/Oltorf,Northbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
