NAME,ON_STREET,AT_STREET,ADDRESS,CITY,STATE,ZIP,SERVICE,SOURCE,SOURCEDATE
Pavilion Park & Ride,US HWY 183,Pavilion Blvd.,12400 US H,Austin,TX,78759,AUGUST 2022,Capital Metro,2022-08-16
Jonestown Park & Ride,Park Drive,Crestview Drive,,Leander,TX,78645,AUGUST 2022,Capital Metro,2022-08-16
Lago Vista Park & Ride,Dawn Drive,Thunderbird,,Leander,TX,78645,AUGUST 2022,Capital Metro,2022-08-16
Leander Park & Ride,US HWY 183,FM 2243,,Leander,TX,78641,AUGUST 2022,Capital Metro,2022-08-16
North Lamar Transit Center,North Lamar Blvd,US HWY 183,7911 Resea,Austin,TX,78758,AUGUST 2022,Capital Metro,2022-08-16
Manor Park & Ride,Carrie Manor Rd,Lexington,,Manor,TX,78653,AUGUST 2022,Capital Metro,2022-08-16
Lakeline Park & Ride,Lakeline Blvd,Lyndhurst St,13701 Lynd,Austin,TX,78717,AUGUST 2022,Capital Metro,2022-08-16
Tech Ridge Park & Ride,Center Ridge Drive,Center Line Drive,900 Center,Austin,TX,78753,AUGUST 2022,Capital Metro,2022-08-16
Howard Park & Ride,Howard Lane,N Mopac Expy,3710 Howar,Austin,TX,78727,AUGUST 2022,Capital Metro,2022-08-16
Great Hills Park & Ride,JOLLYVILLE,MORADO,10500 JOLL,Austin,TX,78759,AUGUST 2022,Capital Metro,2022-08-16
Triangle Park & Ride,GUADALUPE,46TH,4600 GUADA,Austin,TX,78751,AUGUST 2022,Capital Metro,2022-08-16
South Congress Transit Center,BEN WHITE,CONGRESS,301 W BEN,Austin,TX,78745,AUGUST 2022,Capital Metro,2022-08-16
New Life Park & Ride,Century Park Blvd,N Mopac Expy,3200 Centu,Austin,TX,78727,AUGUST 2022,Capital Metro,2022-08-16
Southpark Meadows Park & Ride,Turk Ln,Slaughter,,Austin,TX,78748,AUGUST 2022,Capital Metro,2022-08-16
Westgate Transit Center,US 290,Packsaddle Pass,,Austin,TX,78704,AUGUST 2022,Capital Metro,2022-08-16
Round Rock Transit Center,Bagdad Ave,Brown St,,Round Rock,TX,78664,AUGUST 2022,Capital Metro,2022-08-16
Pinnaccle Park and Ride,US 290,SH 71,,Austin,TX,78736,AUGUST 2022,Capital Metro,2022-08-16
Elgin Park & Ride,Main St,Central Ave,,Elgin,TX,78621,AUGUST 2022,Capital Metro,2022-08-16
Norwood Transit Center,Brettonwoods,Rutherford,,Austin,TX,,AUGUST 2022,Capital Metro,2022-08-16
Eastside Bus Plaza,,,,,,,AUGUST 2022,Capital Metro,2022-08-16
