PassengerId,Survived,Ticket_class,Sex,Age,Sib_spouse,Parent_child,Fare,Embarked,relatives
1,no,3rd class,male,22.0,1,0,7.25,S,1
2,yes,1st class,female,38.0,1,0,71.2833,C,1
3,yes,3rd class,female,26.0,0,0,7.925,S,0
4,yes,1st class,female,35.0,1,0,53.1,S,1
5,no,3rd class,male,35.0,0,0,8.05,S,0
6,no,3rd class,male,29.0,0,0,8.4583,Q,0
7,no,1st class,male,54.0,0,0,51.8625,S,0
8,no,3rd class,male,2.0,3,1,21.075,S,4
9,yes,3rd class,female,27.0,0,2,11.1333,S,2
10,yes,2nd class,female,14.0,1,0,30.0708,C,1
11,yes,3rd class,female,4.0,1,1,16.7,S,2
12,yes,1st class,female,58.0,0,0,26.55,S,0
13,no,3rd class,male,20.0,0,0,8.05,S,0
14,no,3rd class,male,39.0,1,5,31.275,S,6
15,no,3rd class,female,14.0,0,0,7.8542,S,0
16,yes,2nd class,female,55.0,0,0,16.0,S,0
17,no,3rd class,male,2.0,4,1,29.125,Q,5
18,yes,2nd class,male,29.0,0,0,13.0,S,0
19,no,3rd class,female,31.0,1,0,18.0,S,1
20,yes,3rd class,female,29.0,0,0,7.225,C,0
21,no,2nd class,male,35.0,0,0,26.0,S,0
22,yes,2nd class,male,34.0,0,0,13.0,S,0
23,yes,3rd class,female,15.0,0,0,8.0292,Q,0
24,yes,1st class,male,28.0,0,0,35.5,S,0
25,no,3rd class,female,8.0,3,1,21.075,S,4
26,yes,3rd class,female,38.0,1,5,31.3875,S,6
27,no,3rd class,male,29.0,0,0,7.225,C,0
28,no,1st class,male,19.0,3,2,263.0,S,5
29,yes,3rd class,female,29.0,0,0,7.8792,Q,0
30,no,3rd class,male,29.0,0,0,7.8958,S,0
31,no,1st class,male,40.0,0,0,27.7208,C,0
32,yes,1st class,female,29.0,1,0,146.5208,C,1
33,yes,3rd class,female,29.0,0,0,7.75,Q,0
34,no,2nd class,male,66.0,0,0,10.5,S,0
35,no,1st class,male,28.0,1,0,82.1708,C,1
36,no,1st class,male,42.0,1,0,52.0,S,1
37,yes,3rd class,male,29.0,0,0,7.2292,C,0
38,no,3rd class,male,21.0,0,0,8.05,S,0
39,no,3rd class,female,18.0,2,0,18.0,S,2
40,yes,3rd class,female,14.0,1,0,11.2417,C,1
41,no,3rd class,female,40.0,1,0,9.475,S,1
42,no,2nd class,female,27.0,1,0,21.0,S,1
43,no,3rd class,male,29.0,0,0,7.8958,C,0
44,yes,2nd class,female,3.0,1,2,41.5792,C,3
45,yes,3rd class,female,19.0,0,0,7.8792,Q,0
46,no,3rd class,male,29.0,0,0,8.05,S,0
47,no,3rd class,male,29.0,1,0,15.5,Q,1
48,yes,3rd class,female,29.0,0,0,7.75,Q,0
49,no,3rd class,male,29.0,2,0,21.6792,C,2
50,no,3rd class,female,18.0,1,0,17.8,S,1
51,no,3rd class,male,7.0,4,1,39.6875,S,5
52,no,3rd class,male,21.0,0,0,7.8,S,0
53,yes,1st class,female,49.0,1,0,76.7292,C,1
54,yes,2nd class,female,29.0,1,0,26.0,S,1
55,no,1st class,male,65.0,0,1,61.9792,C,1
56,yes,1st class,male,29.0,0,0,35.5,S,0
57,yes,2nd class,female,21.0,0,0,10.5,S,0
58,no,3rd class,male,28.5,0,0,7.2292,C,0
59,yes,2nd class,female,5.0,1,2,27.75,S,3
60,no,3rd class,male,11.0,5,2,46.9,S,7
61,no,3rd class,male,22.0,0,0,7.2292,C,0
62,yes,1st class,female,38.0,0,0,80.0,S,0
63,no,1st class,male,45.0,1,0,83.475,S,1
64,no,3rd class,male,4.0,3,2,27.9,S,5
65,no,1st class,male,29.0,0,0,27.7208,C,0
66,yes,3rd class,male,29.0,1,1,15.2458,C,2
67,yes,2nd class,female,29.0,0,0,10.5,S,0
68,no,3rd class,male,19.0,0,0,8.1583,S,0
69,yes,3rd class,female,17.0,4,2,7.925,S,6
70,no,3rd class,male,26.0,2,0,8.6625,S,2
71,no,2nd class,male,32.0,0,0,10.5,S,0
72,no,3rd class,female,16.0,5,2,46.9,S,7
73,no,2nd class,male,21.0,0,0,73.5,S,0
74,no,3rd class,male,26.0,1,0,14.4542,C,1
75,yes,3rd class,male,32.0,0,0,56.4958,S,0
76,no,3rd class,male,25.0,0,0,7.65,S,0
77,no,3rd class,male,29.0,0,0,7.8958,S,0
78,no,3rd class,male,29.0,0,0,8.05,S,0
79,yes,2nd class,male,0.83,0,2,29.0,S,2
80,yes,3rd class,female,30.0,0,0,12.475,S,0
81,no,3rd class,male,22.0,0,0,9.0,S,0
82,yes,3rd class,male,29.0,0,0,9.5,S,0
83,yes,3rd class,female,29.0,0,0,7.7875,Q,0
84,no,1st class,male,28.0,0,0,47.1,S,0
85,yes,2nd class,female,17.0,0,0,10.5,S,0
86,yes,3rd class,female,33.0,3,0,15.85,S,3
87,no,3rd class,male,16.0,1,3,34.375,S,4
88,no,3rd class,male,29.0,0,0,8.05,S,0
89,yes,1st class,female,23.0,3,2,263.0,S,5
90,no,3rd class,male,24.0,0,0,8.05,S,0
91,no,3rd class,male,29.0,0,0,8.05,S,0
92,no,3rd class,male,20.0,0,0,7.8542,S,0
93,no,1st class,male,46.0,1,0,61.175,S,1
94,no,3rd class,male,26.0,1,2,20.575,S,3
95,no,3rd class,male,59.0,0,0,7.25,S,0
96,no,3rd class,male,29.0,0,0,8.05,S,0
97,no,1st class,male,71.0,0,0,34.6542,C,0
98,yes,1st class,male,23.0,0,1,63.3583,C,1
99,yes,2nd class,female,34.0,0,1,23.0,S,1
100,no,2nd class,male,34.0,1,0,26.0,S,1
101,no,3rd class,female,28.0,0,0,7.8958,S,0
102,no,3rd class,male,29.0,0,0,7.8958,S,0
103,no,1st class,male,21.0,0,1,77.2875,S,1
104,no,3rd class,male,33.0,0,0,8.6542,S,0
105,no,3rd class,male,37.0,2,0,7.925,S,2
106,no,3rd class,male,28.0,0,0,7.8958,S,0
107,yes,3rd class,female,21.0,0,0,7.65,S,0
108,yes,3rd class,male,29.0,0,0,7.775,S,0
109,no,3rd class,male,38.0,0,0,7.8958,S,0
110,yes,3rd class,female,29.0,1,0,24.15,Q,1
111,no,1st class,male,47.0,0,0,52.0,S,0
112,no,3rd class,female,14.5,1,0,14.4542,C,1
113,no,3rd class,male,22.0,0,0,8.05,S,0
114,no,3rd class,female,20.0,1,0,9.825,S,1
115,no,3rd class,female,17.0,0,0,14.4583,C,0
116,no,3rd class,male,21.0,0,0,7.925,S,0
117,no,3rd class,male,70.5,0,0,7.75,Q,0
118,no,2nd class,male,29.0,1,0,21.0,S,1
119,no,1st class,male,24.0,0,1,247.5208,C,1
120,no,3rd class,female,2.0,4,2,31.275,S,6
121,no,2nd class,male,21.0,2,0,73.5,S,2
122,no,3rd class,male,29.0,0,0,8.05,S,0
123,no,2nd class,male,32.5,1,0,30.0708,C,1
124,yes,2nd class,female,32.5,0,0,13.0,S,0
125,no,1st class,male,54.0,0,1,77.2875,S,1
126,yes,3rd class,male,12.0,1,0,11.2417,C,1
127,no,3rd class,male,29.0,0,0,7.75,Q,0
128,yes,3rd class,male,24.0,0,0,7.1417,S,0
129,yes,3rd class,female,29.0,1,1,22.3583,C,2
130,no,3rd class,male,45.0,0,0,6.975,S,0
131,no,3rd class,male,33.0,0,0,7.8958,C,0
132,no,3rd class,male,20.0,0,0,7.05,S,0
133,no,3rd class,female,47.0,1,0,14.5,S,1
134,yes,2nd class,female,29.0,1,0,26.0,S,1
135,no,2nd class,male,25.0,0,0,13.0,S,0
136,no,2nd class,male,23.0,0,0,15.0458,C,0
137,yes,1st class,female,19.0,0,2,26.2833,S,2
138,no,1st class,male,37.0,1,0,53.1,S,1
139,no,3rd class,male,16.0,0,0,9.2167,S,0
140,no,1st class,male,24.0,0,0,79.2,C,0
141,no,3rd class,female,29.0,0,2,15.2458,C,2
142,yes,3rd class,female,22.0,0,0,7.75,S,0
143,yes,3rd class,female,24.0,1,0,15.85,S,1
